Name,Span,Matches,Innings,Not Outs,Runs,Highest Score,Average,BF,Strike Rate,Hundreds,Fifties,Ducks,Fours,Sixes
S Godara (CAM),2023-2024,16,12,6,171,36*,28.50,115,148.69,0,0,3,8,15
N Nuntarach (THA),2022-2024,29,23,2,171,24,8.14,248,68.95,0,0,6,11,1
Yves Cyusa (RWN),2024-2024,15,11,1,171,61,17.10,144,118.75,0,1,0,16,7
MNR Cooray (MDV),2019-2020,7,6,1,170,56*,34.00,148,114.86,0,1,0,21,3
S Hirugade (Mex),2019-2024,20,19,0,170,35,8.94,188,90.42,0,0,1,22,3
Zain Ahmad (Fran),2022-2024,17,15,0,170,52,11.33,158,107.59,0,1,4,21,3
Festus Benn (Bhm),2022-2024,17,16,5,169,37*,15.36,216,78.24,0,0,1,13,1
Muhammad Amin (SWA/SWZ),2021-2024,13,13,1,169,80,14.08,150,112.66,0,2,2,22,5
M Vijay (IND),2010-2015,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8
H Niaz (Fran),2024-2024,10,10,0,168,53,16.80,117,143.58,0,1,1,17,8
T van der Gugten (NED),2012-2024,49,15,5,168,40*,16.80,124,135.48,0,0,2,8,9
Omid Mailk Khel (Belg),2022-2024,12,11,3,167,30,20.87,162,103.08,0,0,0,11,5
O Bascome (BER),2019-2021,17,15,1,166,37,11.85,166,100.00,0,0,2,12,9
M Jansen (SA),2022-2024,17,12,3,166,54,18.44,111,149.54,0,1,1,13,11
HJ Jordaan (THA),2019-2020,8,8,1,166,37*,23.71,210,79.04,0,0,0,10,4
A Mutreja (SGP),2022-2024,13,11,0,166,77,15.09,138,120.28,0,1,3,10,8
AL Phehlukwayo (SA),2017-2024,42,25,7,166,27*,9.22,153,108.49,0,0,7,16,5
A Pusthay (FIN),2019-2022,12,12,0,166,56,13.83,176,94.31,0,1,1,13,1
JOP Scamans (FIN),2019-2024,18,17,3,166,28,11.85,165,100.60,0,0,4,11,1
ME Trescothick (ENG),2005-2006,3,3,0,166,72,55.33,131,126.71,0,2,0,23,1
Aayan Afzal Khan (UAE),2022-2024,36,17,4,165,42,12.69,181,91.16,0,0,1,12,2
Umar Gul (PAK),2007-2016,60,27,9,165,32,9.16,156,105.76,0,0,6,11,10
Fitri Sham (MAS),2019-2024,45,23,7,164,40*,10.25,166,98.79,0,0,2,4,12
D Jakiel (MWI/ZIM),2019-2024,35,20,10,164,38*,16.40,165,99.39,0,0,0,12,1
Sheikh Rasik (HUN),2023-2024,6,6,1,164,53,32.80,122,134.42,0,2,0,11,9
G Singh (USA),2021-2024,13,9,2,164,65,23.42,131,125.19,0,2,2,8,11
Waqas Khan (HKG),2014-2020,16,14,4,164,60,16.40,189,86.77,0,1,1,6,5
Adnan Mirza (QAT),2023-2024,14,12,0,163,30,13.58,134,121.64,0,0,0,26,2
TN de Grooth (NED),2008-2013,15,13,5,163,49,20.37,155,105.16,0,0,0,16,1
Kulwinderjeet Singh (PHI),2023-2024,8,8,1,163,46,23.28,110,148.18,0,0,1,18,9
Muhammad Siddiqui (SVN),2022-2024,9,9,0,163,48,18.11,137,118.97,0,0,1,15,8
Zawar Farid (UAE),2019-2023,18,16,3,163,55,12.53,127,128.34,0,1,2,12,8
Abdul Hashmi (DEN),2019-2024,23,16,4,162,31,13.50,168,96.42,0,0,4,12,2
H Davids (SA),2012-2013,9,9,0,161,68,17.88,134,120.14,0,2,2,18,4
Shahbaz Badar (BHR),2019-2024,16,16,1,161,44,10.73,178,90.44,0,0,4,15,1
Waqas Ahmad (MLT),2023-2023,15,12,4,161,53*,20.12,100,161.00,0,1,3,10,12
Washington Sundar (IND),2017-2024,52,20,8,161,50,13.41,125,128.80,0,1,4,13,8
DE Roache (Samoa),2022-2024,9,7,1,160,55,26.66,132,121.21,0,1,0,17,8
Samir Patel (LES),2021-2022,13,12,2,160,35*,16.00,158,101.26,0,0,2,13,5
JK Theodore (GHA),2021-2024,38,27,4,160,22*,6.95,176,90.90,0,0,5,8,5
Ainool Hafizs (MAS),2019-2024,46,25,5,159,21,7.95,174,91.37,0,0,0,9,3
JP Faulkner (AUS),2012-2017,24,18,7,159,41*,14.45,138,115.21,0,0,0,7,5
Junaid Siddique (BAN),2007-2012,7,7,0,159,71,22.71,108,147.22,0,1,1,16,7
GF Linde (SA),2020-2024,16,12,1,159,48,14.45,109,145.87,0,0,2,9,10
Muhammad Asim (QAT),2024-2024,5,5,2,159,63,53.00,109,145.87,0,2,2,20,3
RR Watson (SCOT),2007-2010,10,9,0,159,54,17.66,141,112.76,0,1,1,22,1
RGA Amah (CAM),2021-2023,17,16,0,158,20,9.87,219,72.14,0,0,1,13,1
PJ Cummins (AUS),2011-2024,57,27,12,158,28,10.53,133,118.79,0,0,4,11,7
R Nath (TKY),2022-2024,12,11,1,158,38,15.80,177,89.26,0,0,0,12,6
AA Navicha (MOZ),2021-2024,28,19,8,158,31*,14.36,202,78.21,0,0,3,8,4
JL Ontong (SA),2008-2015,14,10,0,158,48,15.80,109,144.95,0,0,1,6,11
Rizwan Mahmood (DEN),2019-2023,13,11,2,158,45,17.55,131,120.61,0,0,1,10,6
W Wotu (VAN),2022-2024,18,16,3,158,25*,12.15,146,108.21,0,0,4,6,12
C Bah (SLE),2021-2024,29,18,3,157,43*,10.46,147,106.80,0,0,2,11,5
Mudassar Bukhari (NED),2008-2016,38,26,8,157,28*,8.72,152,103.28,0,0,1,10,4
JSE Dunford (JER),2019-2024,36,19,11,157,45*,19.62,162,96.91,0,0,4,16,0
DT Tiripano (ZIM),2016-2022,23,16,4,157,28,13.08,158,99.36,0,0,3,9,6
R Trumpelmann (NAM),2021-2024,32,16,7,157,26,17.44,130,120.76,0,0,0,12,8
S Conteh (SLE),2021-2024,33,20,3,156,34,9.17,224,69.64,0,0,5,11,1
K Rabada (SA),2014-2024,65,24,15,156,22,17.33,141,110.63,0,0,4,14,5
GT Taylor (Bhm),2021-2024,16,16,1,156,32,10.40,227,68.72,0,0,2,9,7
KJ Young (Blz),2019-2021,9,9,2,156,44,22.28,151,103.31,0,0,1,15,4
Amandeep Singh (PORT),2021-2024,17,15,4,155,25*,14.09,121,128.09,0,0,2,14,5
J Baker (CAY),2024-2024,8,8,1,155,55*,22.14,150,103.33,0,1,0,14,7
S Burdekin (CYP),2024-2024,10,10,1,155,59,17.22,153,101.30,0,1,0,13,6
AR McBrine (IRE),2014-2022,32,18,6,155,36,12.91,132,117.42,0,0,1,11,5
SP Narine (WI),2012-2019,51,23,8,155,30,10.33,138,112.31,0,0,2,13,5
Rishad Hossain (BAN),2023-2024,30,19,4,155,53,10.33,115,134.78,0,1,3,9,13
CA Soper (PNG),2015-2024,31,20,9,155,19,14.09,194,79.89,0,0,0,6,5
Ansar Iqbal (NOR),2019-2022,9,8,1,154,40,22.00,134,114.92,0,0,0,17,4
M Gunasekara (CYP),2024-2024,11,10,1,154,41,17.11,128,120.31,0,0,2,10,8
Hadisullah Tarakhel (Belg),2021-2021,5,5,1,154,78,38.50,84,183.33,0,1,0,16,11
Khaibar Deldar (HUN),2021-2022,15,14,0,154,40,11.00,136,113.23,0,0,2,14,7
Wahab Riaz (PAK),2008-2020,36,18,6,154,30*,12.83,123,125.20,0,0,2,10,7
G Bakiweyem (GHA),2019-2024,41,26,11,153,41*,10.20,192,79.68,0,0,3,3,1
GK Berg (ITA),2021-2024,19,13,5,153,39*,19.12,123,124.39,0,0,2,11,6
Irfan Khan (PAK),2024-2024,10,8,4,153,37*,38.25,109,140.36,0,0,1,15,5
M Magagula (SWA/SWZ),2021-2024,29,21,5,153,21*,9.56,208,73.55,0,0,2,11,3
A Mundra (SWE),2024-2024,4,4,1,153,56*,51.00,93,164.51,0,1,0,15,10
NA Rock (IRE),2021-2024,23,16,1,153,37,10.20,140,109.28,0,0,1,13,3
Sandeep Goud (OMA),2019-2024,30,19,6,153,31*,11.76,161,95.03,0,0,1,5,7
Lucky Ali (DEN),2019-2023,21,15,3,152,26,12.66,192,79.16,0,0,0,10,0
DR Patankar (MLT),2023-2024,17,14,1,152,30*,11.69,152,100.00,0,0,0,16,2
E Rukiriza (RWN),2023-2024,53,35,12,152,18*,6.60,202,75.24,0,0,5,7,4
M Sohel Patel (PAN),2019-2023,15,15,0,152,42,10.13,154,98.70,0,0,3,12,8
MP Breetzke (SA),2023-2024,10,10,1,151,51,16.77,123,122.76,0,1,0,13,6
CK Jasmat (Samoa),2022-2024,12,10,1,151,42*,16.77,145,104.13,0,0,0,12,4
HD Rutherford (NZ),2013-2019,8,7,0,151,62,21.57,105,143.80,0,1,1,12,9
V Sukumaran (UAE),2024-2024,10,8,0,151,50,18.87,124,121.77,0,1,2,15,7
Aamir Lal (SKOR),2022-2024,10,10,2,150,48,18.75,133,112.78,0,0,1,7,9
NM Coulter-Nile (AUS),2013-2019,28,15,4,150,34,13.63,120,125.00,0,0,3,10,10
STRA de Silva (SEY),2022-2024,12,10,3,150,46*,21.42,173,86.70,0,0,1,9,1
AT Nidamanuru (NED),2022-2024,18,13,0,150,36,11.53,132,113.63,0,0,4,6,10
JR Philippe (AUS),2021-2023,12,12,0,150,45,12.50,137,109.48,0,0,1,11,5
Salvin Stanly (CAM),2023-2024,19,18,2,150,25*,9.37,163,92.02,0,0,2,14,4
Usman Najeeb (KSA),2022-2024,30,16,6,150,20*,15.00,123,121.95,0,0,2,8,9
HR Walsh (USA/WI),2019-2024,39,17,7,150,28,15.00,155,96.77,0,0,2,9,5
M Dixit (LUX),2019-2023,28,17,3,149,38,10.64,154,96.75,0,0,2,10,4
Haroon Mughal (MLT),2019-2021,15,11,0,149,33,13.54,120,124.16,0,0,0,12,5
CN Kakuru (UGA),2022-2024,40,21,5,149,38,9.31,149,100.00,0,0,4,17,1
N Pathan (THA),2019-2020,8,8,1,149,54*,21.28,128,116.40,0,1,1,10,7
SM Tupou (Fiji),2022-2023,9,9,0,149,35,16.55,153,97.38,0,0,0,12,6
Fayyaz Butt (OMA),2019-2024,47,21,10,148,25*,13.45,145,102.06,0,0,2,11,4
TKP Rajapaksha (SEY),2022-2024,12,11,0,148,49,13.45,170,87.05,0,0,1,18,0
Abdul Rahman (SGP),2022-2023,10,9,2,147,67,21.00,141,104.25,0,1,1,10,2
R Ankad (Mex),2019-2024,20,17,5,147,40*,12.25,189,77.77,0,0,2,13,0
J Chialoufas (CYP),2024-2024,10,10,1,147,37,16.33,143,102.79,0,0,3,11,4
Muhammad Nadir (RWN),2023-2024,45,26,12,147,17*,10.50,196,75.00,0,0,2,12,4
Taranjit Singh (CYP),2024-2024,9,8,1,147,55,21.00,69,213.04,0,1,1,10,13
CR Woakes (ENG),2011-2023,33,17,8,147,37,16.33,117,125.64,0,0,2,9,7
Zeerak Chughtai (BUL),2023-2024,8,8,2,147,44,24.50,160,91.87,0,0,0,12,3
Shahid Afridi (GER),2023-2023,7,7,0,146,53,20.85,86,169.76,0,1,0,14,10
T Taylor (CAY),2019-2024,21,15,4,146,42,13.27,155,94.19,0,0,1,7,8
KM Awala (GHA),2022-2024,17,15,1,145,23*,10.35,174,83.33,0,0,3,5,3
C Pyle (GIBR),2024-2024,8,8,1,145,47,20.71,142,102.11,0,0,0,16,2
A Reyes (GIBR),2021-2024,24,15,3,145,44,12.08,179,81.00,0,0,2,15,0
P Sarraf (NEP),2019-2022,17,16,2,145,27*,10.35,158,91.77,0,0,4,18,5
YI Patel (KUW),2022-2024,47,23,12,144,31,13.09,177,81.35,0,0,2,7,2
Wahidullah Usmani (Belg),2020-2021,7,7,0,144,72,20.57,149,96.64,0,1,0,14,2
M Klinger (AUS),2017-2017,3,3,0,143,62,47.66,112,127.67,0,1,0,12,2
R Sharma (SGP),2023-2024,11,8,5,143,42,47.66,89,160.67,0,0,1,7,10
Usman Arif (NOR),2021-2022,9,8,0,143,44,17.87,71,201.40,0,0,1,4,17
Amir Mangal (GER),2019-2020,10,10,3,142,40,20.28,91,156.04,0,0,0,11,8
LA Burns (ESP),2022-2024,28,14,4,142,47,14.20,127,111.81,0,0,1,13,2
Shahid Arshad (SVN),2022-2024,10,10,1,142,28*,15.77,168,84.52,0,0,1,7,6
Umar Amin (PAK),2013-2018,14,9,0,142,47,15.77,123,115.44,0,0,3,15,4
Afsar Zazai (AFG),2013-2023,8,8,0,141,48,17.62,172,81.97,0,0,0,9,3
Faran Afzal (ESP),2019-2019,9,8,1,141,59*,20.14,140,100.71,0,1,0,11,6
Hammad Mirza (OMA),2024-2024,8,8,1,141,62*,20.14,112,125.89,0,1,0,8,6
G Sesay (SLE),2021-2024,38,24,6,141,23*,7.83,208,67.78,0,0,7,4,6
Tanzeel Sheikh (KENYA),2022-2024,18,10,1,141,48,15.66,98,143.87,0,0,2,11,9
Waheed Ahmed (UAE),2019-2020,15,13,6,141,45*,20.14,111,127.02,0,0,0,7,11
Wei Guo Lei (CHN),2023-2024,11,11,0,141,70,12.81,178,79.21,0,1,4,14,5
Fayaz Khan (GER),2021-2024,13,9,3,140,64,23.33,77,181.81,0,1,2,9,12
G Murali (CRC),2019-2024,8,8,1,140,47*,20.00,194,72.16,0,0,0,9,3
S Vashisht (ROM),2019-2024,34,20,6,140,23,10.00,145,96.55,0,0,2,13,3
AJ Jabiri (TAN),2022-2024,18,16,0,139,27,8.68,232,59.91,0,0,2,12,1
T Munyonga (ZIM),2019-2024,15,12,2,139,44,13.90,144,96.52,0,0,0,7,2
A Oxley (Blz),2024-2024,8,6,0,139,31,23.16,199,69.84,0,0,0,6,0
AC Voges (AUS),2007-2013,7,5,2,139,51,46.33,114,121.92,0,1,0,8,2
Dipanjan Dey (SWE),2021-2021,6,6,2,138,75*,34.50,112,123.21,0,1,0,9,3
P Manning (CAY),2019-2023,13,13,2,138,31,12.54,203,67.98,0,0,2,10,1
Murid Ekrami (Belg),2019-2024,25,16,4,138,28,11.50,125,110.40,0,0,3,12,4
F Stoman (PORT),2019-2024,21,15,2,138,28,10.61,185,74.59,0,0,2,5,5
IJL Trott (ENG),2007-2010,7,7,1,138,51,23.00,144,95.83,0,1,0,9,3
J Vijay (PORT),2024-2024,5,5,0,138,42,27.60,99,139.39,0,0,0,18,4
Anique Uddin (DEN),2019-2023,13,12,0,137,31,11.41,172,79.65,0,0,1,8,1
KD Mills (NZ),2005-2014,42,19,7,137,33*,11.41,123,111.38,0,0,4,11,5
HH Patel (MWI),2019-2019,7,6,1,137,44*,27.40,104,131.73,0,0,0,17,3
I Tchakou (CAM),2021-2024,22,20,0,137,26,6.85,184,74.45,0,0,3,18,1
J Trembeath-Moro (ESP),2022-2022,8,7,2,137,39,27.40,152,90.13,0,0,0,10,4
DF Watts (SCOT),2007-2012,11,9,0,137,46,15.22,127,107.87,0,0,2,13,3
AR White (IRE),2008-2012,18,12,6,137,29,22.83,128,107.03,0,0,0,12,2
Zameer Khan (DEN),2019-2021,8,8,1,137,33,19.57,173,79.19,0,0,0,9,0
Ismaila Tamba (GMB),2022-2024,12,12,2,136,43,13.60,121,112.39,0,0,0,16,4
SL Malinga (SL),2006-2020,84,33,12,136,27,6.47,161,84.47,0,0,8,9,5
Mohammad Boota (UAE),2019-2022,19,15,7,136,20*,17.00,114,119.29,0,0,1,9,6
S Rungrueang (THA),2023-2024,21,20,4,136,46,8.50,173,78.61,0,0,4,6,7
Divyendra Singh (CZK-R),2022-2024,16,12,0,135,38,11.25,170,79.41,0,0,1,14,0
Sachin Mandy (GER),2022-2024,23,13,1,135,34,11.25,129,104.65,0,0,2,12,5
GF Gomes (MOZ),2019-2022,15,10,1,134,52,14.88,110,121.81,0,1,2,14,4
AJ Michael (Samoa),2019-2022,10,10,2,134,23,16.75,164,81.70,0,0,0,10,3
CT Mutombodzi (ZIM),2013-2020,15,14,3,134,32,12.18,144,93.05,0,0,2,9,2
V Shukla (OMA),2024-2024,5,5,2,134,52*,44.66,89,150.56,0,1,1,14,5
D Wheatley (Bhm),2022-2024,17,17,4,134,30,10.30,153,87.58,0,0,1,10,4
KS Bagabena (GHA),2019-2024,45,25,11,133,23*,9.50,150,88.66,0,0,4,7,1
Ghulam Abbas Butt (FIN),2024-2024,8,8,0,133,44,16.62,96,138.54,0,0,0,16,5
Ikramullah Khan (QAT),2022-2024,21,13,3,133,53,13.30,109,122.01,0,1,2,13,4
VR Iyer (IND),2021-2022,9,7,3,133,35*,33.25,82,162.19,0,0,0,15,5
CH Morris (SA),2012-2019,23,13,4,133,55*,14.77,102,130.39,0,1,3,12,5
Rahel Khan (SWE),2021-2021,7,7,0,133,37,19.00,103,129.12,0,0,1,12,8
KJ Ferrary (GIBR),2021-2024,9,7,3,132,35*,33.00,132,100.00,0,0,0,11,1
B Ito-Davis (JPN),2024-2024,10,7,2,132,47*,26.40,95,138.94,0,0,0,10,2
M Jele (SWA/SWZ),2021-2024,30,26,4,132,16,6.00,168,78.57,0,0,7,8,5
H Lin Aung (MYAN),2023-2024,19,19,1,132,21*,7.33,232,56.89,0,0,2,6,5
Shaof Hassan (MDV),2023-2024,12,10,2,132,36*,16.50,100,132.00,0,0,1,10,7
Waseem Abbas (MLT),2019-2024,50,29,13,132,20*,8.25,95,138.94,0,0,3,6,10
OJ Webster (IOM),2020-2024,6,6,0,132,48,22.00,95,138.94,0,0,0,14,5
Yasar Haroon (BRA),2019-2024,13,13,1,132,29,11.00,189,69.84,0,0,1,14,1
GEF Barnett (CAN),2008-2010,5,5,1,131,36,32.75,136,96.32,0,0,0,16,0
JB Little (IRE),2016-2024,69,31,19,131,22*,10.91,153,85.62,0,0,4,11,3
MB Tambe (FIN),2021-2024,26,22,10,131,31*,10.91,169,77.51,0,0,3,6,2
SF Tiai (Samoa),2019-2024,16,13,2,131,35,11.90,116,112.93,0,0,2,12,6
J Vira (VAN),2019-2024,21,19,4,131,23,8.73,148,88.51,0,0,2,10,2
ZXM Vukusic (CRT),2024-2024,4,4,0,131,53,32.75,91,143.95,0,1,0,5,9
J Albin (BUL),2021-2022,25,16,8,130,19*,16.25,168,77.38,0,0,0,12,1
AC Botha (IRE),2008-2010,14,11,1,130,38,13.00,141,92.19,0,0,2,12,1
DDP D'Silva (UAE),2019-2019,10,8,4,130,29,32.50,146,89.04,0,0,1,9,0
Muhammad Saleem (BRA),2019-2024,11,11,0,130,52,11.81,113,115.04,0,1,0,10,6
Naeem Islam (BAN),2008-2013,10,10,1,130,28,14.44,114,114.03,0,0,0,8,7
AJ Ayannaike (NGA),2019-2021,20,19,0,129,33,6.78,166,77.71,0,0,5,10,3
Hasan Ali (PAK),2016-2024,51,19,10,129,23,14.33,69,186.95,0,0,4,7,11
DR Hooper (GUE),2019-2023,24,14,6,129,19*,16.12,149,86.57,0,0,1,5,1
AN Lascu (ROM),2024-2024,4,4,1,129,72*,43.00,107,120.56,0,1,0,22,2
Ameel Mauroof (MDV),2019-2024,30,22,10,128,19*,10.66,175,73.14,0,0,2,5,1
JR Barry (Bhm),2021-2023,10,9,2,128,30*,18.28,178,71.91,0,0,1,12,0
MPS Cheema (Aut),2022-2023,19,14,2,128,33,10.66,140,91.42,0,0,0,12,1
BOP Fernando (SL),2019-2021,7,6,1,128,78*,25.60,114,112.28,0,1,0,11,4
AM Hardie (AUS),2023-2024,13,8,2,128,28,21.33,99,129.29,0,0,0,15,3
S Loday (BHU),2022-2024,16,13,3,128,22,12.80,166,77.10,0,0,1,8,0
Mirwais Ashraf (AFG),2010-2016,25,19,8,128,28*,11.63,115,111.30,0,0,2,5,8
Yasir Ali (BAN),2022-2023,11,11,3,128,42*,16.00,90,142.22,0,0,0,12,5
CK Coventry (ZIM),2010-2015,13,12,2,127,30,12.70,90,141.11,0,0,2,14,6
PG Fulton (NZ),2006-2012,12,12,1,127,25,11.54,140,90.71,0,0,2,7,6
A Kadowaki Fleming (JPN),2024-2024,3,3,1,127,65*,63.50,79,160.75,0,1,0,10,2
Mohammad Mithun (BAN),2014-2021,17,13,1,127,47,10.58,136,93.38,0,0,2,10,4
MA Ouma (KENYA),2007-2013,22,19,1,127,19,7.05,160,79.37,0,0,3,15,1
MJ Prior (ENG),2007-2010,10,8,2,127,32,21.16,100,127.00,0,0,1,11,5
AJ Staal (NED),2019-2021,14,12,4,127,28*,15.87,97,130.92,0,0,4,7,7
DAJ Bracewell (NZ),2011-2021,20,11,5,126,44,21.00,90,140.00,0,0,2,6,9
Mohammad Haris (PAK),2022-2023,9,9,0,126,31,14.00,99,127.27,0,0,1,9,8
AJ Redmond (NZ),2009-2010,7,6,0,126,63,21.00,84,150.00,0,1,0,19,2
Bilal Hassun (UGA),2021-2024,46,18,8,125,20*,12.50,105,119.04,0,0,3,10,6
JL Denly (ENG),2009-2020,13,12,2,125,30,12.50,118,105.93,0,0,2,15,1
S Foster (CAY),2024-2024,8,6,1,125,41,25.00,123,101.62,0,0,0,13,0
Habib Ahmadzai (Aut),2019-2022,10,10,2,125,39,15.62,121,103.30,0,0,1,12,2
Muhammad Naeem (KSA),2019-2020,7,6,2,125,42,31.25,126,99.20,0,0,1,7,3
Raghav Dhawan (UGA),2024-2024,11,9,0,125,27,13.88,122,102.45,0,0,1,11,4
PJ van Biljon (SA),2020-2021,10,8,2,125,42,20.83,101,123.76,0,0,0,10,4
R Fox (Bhm),2022-2024,12,12,5,124,24*,17.71,124,100.00,0,0,1,8,5
EB Knowles (CZK-R),2019-2021,14,13,3,124,23,12.40,152,81.57,0,0,1,15,0
Mohammed Asghar (KUW),2019-2019,4,4,0,124,45,31.00,91,136.26,0,0,0,13,5
KH Pandya (IND),2018-2021,19,10,5,124,26*,24.80,95,130.52,0,0,0,8,6
RJ Peterson (SA),2006-2014,21,12,4,124,34,15.50,113,109.73,0,0,1,13,2
L Rossi (Arg),2023-2024,10,9,1,124,25,15.50,148,83.78,0,0,0,13,0
A Turkmen (TKY),2022-2024,12,11,4,124,40*,17.71,117,105.98,0,0,1,15,1
L Bonner (Blz),2024-2024,7,7,1,123,70*,20.50,99,124.24,0,1,1,10,5
J Campbell (ZIM),2024-2024,9,9,1,123,45,15.37,101,121.78,0,0,1,8,7
HA Chohan (TAN),2021-2024,32,20,7,123,26,9.46,82,150.00,0,0,2,8,7
D Klein (GER),2020-2023,23,17,5,123,31*,10.25,97,126.80,0,0,3,10,5
AD Mascarenhas (ENG),2007-2009,14,13,5,123,31,15.37,100,123.00,0,0,3,8,5
Mohammad Kamran (ESP),2022-2023,19,12,3,123,52,13.66,116,106.03,0,1,0,10,3
Tayyab Tahir (PAK),2023-2024,8,7,1,123,39*,20.50,104,118.26,0,0,0,12,3
Ahmed Raza (UAE),2014-2022,55,20,10,122,22,12.20,147,82.99,0,0,3,3,5
D Cleaver (NZ),2022-2023,9,7,1,122,78*,20.33,101,120.79,0,1,1,10,5
AW Hawkins-Kay (JER),2019-2019,16,13,5,122,27*,15.25,136,89.70,0,0,1,8,0
KM Jadhav (IND),2015-2017,9,6,0,122,58,20.33,99,123.23,0,1,0,12,3
Umair Sharif (KSA),2023-2023,8,7,2,122,44*,24.40,102,119.60,0,0,0,7,6
AS Joseph (WI),2022-2024,38,16,9,121,21*,17.28,116,104.31,0,0,2,9,5
MK Thakur (THA),2024-2024,13,8,2,121,49,20.16,93,130.10,0,0,0,9,5
NRJ Croes (NED),2024-2024,9,7,3,120,33*,30.00,93,129.03,0,0,0,12,1
J Jagroo (Bhm),2021-2022,11,11,0,120,34,10.90,140,85.71,0,0,2,7,5
M Kadyan (BUL),2021-2022,12,11,3,120,50,15.00,94,127.65,0,1,2,13,6
M Machado (PORT),2023-2023,8,8,3,120,54*,24.00,92,130.43,0,2,0,10,5
DR Martyn (AUS),2005-2006,4,4,0,120,96,30.00,74,162.16,0,1,0,11,5
Imrul Kayes (BAN),2010-2017,14,13,0,119,36,9.15,134,88.80,0,0,4,14,3
Khin Aye (MYAN),2023-2024,19,18,4,119,24*,8.50,257,46.30,0,0,4,7,1
T Martin (LUX),2023-2024,6,6,0,119,35,19.83,80,148.75,0,0,0,11,4
Mohammed Irshad (QAT),2023-2024,10,8,1,119,25,17.00,114,104.38,0,0,0,3,7
Suraj Kumar (OMA),2019-2022,19,12,3,119,42*,13.22,108,110.18,0,0,0,10,3
B Tuyizere (RWN),2021-2023,13,11,2,119,40,13.22,141,84.39,0,0,1,9,1
M Abdulla (MWI),2019-2021,10,7,2,118,42*,23.60,113,104.42,0,0,0,11,2
SCJ Broad (ENG),2006-2014,56,26,10,118,18*,7.37,118,100.00,0,0,2,7,3
DT Christian (AUS),2010-2021,23,14,6,118,39,14.75,93,126.88,0,0,1,7,6
Darwish Rasooli (AFG),2022-2024,9,9,2,118,58,16.85,113,104.42,0,1,1,10,2
Garret Banner (Blz),2019-2024,15,11,3,118,32,14.75,102,115.68,0,0,4,8,5
JS Kundi (KENYA),2019-2024,13,11,3,118,31*,14.75,98,120.40,0,0,3,8,6
A Manousis (GRC),2019-2022,11,11,2,118,27,13.11,101,116.83,0,0,4,14,4
AS Mehmi (GRC),2019-2024,15,13,1,118,29,9.83,146,80.82,0,0,1,10,2
Shamsudheen Purat (KSA),2019-2020,6,5,1,118,88*,29.50,77,153.24,0,1,2,12,7
G Singh (Sur),2024-2024,7,7,3,118,39*,29.50,114,103.50,0,0,1,13,0
JE Taylor (WI),2006-2018,30,15,6,118,21,13.11,92,128.26,0,0,1,10,6
Umair Qasim (SWA/SWZ),2021-2024,26,23,2,118,15,5.61,160,73.75,0,0,3,6,3
C Webster (IOM),2023-2023,6,6,1,118,59*,23.60,90,131.11,0,1,2,6,6
D Jansen (IOM),2021-2023,12,8,0,117,33,14.62,127,92.12,0,0,1,6,3
G Schachat (ISR),2022-2022,3,3,2,117,66,117.00,106,110.37,0,1,0,10,2
WA Simpson (SGP),2024-2024,6,6,3,117,46*,39.00,87,134.48,0,0,0,7,6
Ziaur Rahman (BAN),2012-2014,14,12,3,117,40*,13.00,91,128.57,0,0,3,3,10
Asif Bevinje (ROM),2020-2024,10,8,0,116,35,14.50,102,113.72,0,0,1,12,4
J Evans (ISR),2022-2024,9,9,0,116,42,12.88,106,109.43,0,0,1,13,2
MO Jones (BER),2019-2023,18,14,8,116,27,19.33,127,91.33,0,0,0,5,3
Khalid Shah (UAE),2023-2023,8,8,0,116,37,14.50,106,109.43,0,0,2,10,6
Mohammad Amin (KUW),2019-2024,11,9,3,116,32,19.33,118,98.30,0,0,0,9,3
D Nikolov (BUL),2019-2024,30,20,2,116,42,6.44,154,75.32,0,0,5,12,2
Shahzaib Hasan (PAK),2009-2010,10,10,0,116,35,11.60,130,89.23,0,0,3,13,3
N Tanner (PHI),2024-2024,7,7,1,116,29,19.33,141,82.26,0,0,0,3,3
Zeeshan Sarwar (CYP),2021-2021,4,4,0,116,61,29.00,79,146.83,0,1,1,4,10
JH Davey (SCOT),2012-2022,31,16,8,115,24,14.37,88,130.68,0,0,1,7,4
Isa Zaroo (BUL),2023-2024,11,8,0,115,29,14.37,123,93.49,0,0,0,12,0
NK Patel (USA),2019-2024,21,12,6,115,28,19.16,105,109.52,0,0,1,9,2
Aryan Lakra (UAE),2022-2024,10,10,2,114,63*,14.25,107,106.54,0,1,1,6,6
Huzaifa Mohammed (PHI),2022-2024,24,13,8,114,27*,22.80,155,73.54,0,0,0,3,1
Kaleemullah (OMA),2017-2024,42,20,6,114,15,8.14,108,105.55,0,0,2,3,8
Mohameed Taiwo (NGA),2019-2024,43,25,12,114,19*,8.76,154,74.02,0,0,5,5,3
P Arora (Mex),2019-2024,9,9,3,113,51*,18.83,124,91.12,0,1,2,11,3
J Fraser-McGurk (AUS),2024-2024,7,7,0,113,50,16.14,79,143.03,0,1,2,16,3
DL Maddy (ENG),2007-2007,4,4,0,113,50,28.25,80,141.25,0,1,0,12,3
Samiullah Rahmani (SWE),2023-2024,9,6,0,113,41,18.83,80,141.25,0,0,0,9,7
